fast,mid,slow,zone,expiry,be,is_n,is_total_R,is_avg_R,is_t,is_win,oos_n,oos_total_R,oos_avg_R,oos_t,oos_win
20,110,300,100.0,12,False,149,-11.555540137049535,-0.07755396065133915,-0.6871698810293221,30.87248322147651,61,25.018751446802398,0.4101434663410229,2.142850964151012,47.540983606557376
20,110,300,100.0,16,True,157,-6.916961136170884,-0.04405707730045149,-0.44405113079863945,45.22292993630573,67,13.018897796718452,0.19431190741370824,1.256143449678547,58.2089552238806
20,110,300,100.0,16,False,152,-11.555540137049535,-0.07602329037532589,-0.6799704328168305,30.92105263157895,65,24.018751446802398,0.3695192530277292,1.9967608882719166,46.15384615384615
20,110,300,150.0,8,True,69,-0.9998939369957158,-0.01449121647819878,-0.09781282072645572,49.275362318840585,33,7.682164613803262e-05,2.3279286708494735e-06,1.1672852104559704e-05,57.57575757575758
20,110,300,150.0,8,False,68,-11.0,-0.16176470588235295,-0.9836350402206719,27.941176470588236,33,9.0,0.2727272727272727,1.0405319634289438,42.42424242424242
20,110,350,100.0,16,True,151,-5.91691626895126,-0.039184875953319605,-0.39041325251345715,46.35761589403973,63,14.000113003039413,0.22222401592126054,1.3692191939762883,58.730158730158735
20,110,350,100.0,16,False,146,-12.03365058966253,-0.08242226431275705,-0.7224889654906991,30.82191780821918,61,26.0,0.4262295081967213,2.2037063867676334,47.540983606557376
20,110,350,150.0,8,True,65,0.00010606300428328552,1.631738527435162e-06,1.0741417982851951e-05,50.76923076923077,30,7.682164614025307e-05,2.5607215380084355e-06,1.2588405679401071e-05,60.0
20,110,350,150.0,8,False,64,-10.0,-0.15625,-0.9194621406122842,28.125,30,9.0,0.3,1.0867361570837342,43.333333333333336
20,110,350,150.0,12,True,74,1.000108449815012,0.013514979051554216,0.09345002471591399,50.0,33,3.00007682164614,0.09091141883776181,0.4417374846461527,60.60606060606061
20,110,350,150.0,12,False,73,-10.0,-0.136986301369863,-0.8559209850218257,28.767123287671232,33,12.0,0.36363636363636365,1.3770607453181927,45.45454545454545
20,110,350,150.0,16,True,75,1.0001274967434122,0.013335033289912162,0.09346026415353925,50.66666666666667,34,5.000076821646138,0.14706108298959228,0.709054239403508,61.76470588235294
20,110,350,150.0,16,False,74,-11.0,-0.14864864864864866,-0.9390425647459821,28.37837837837838,34,14.0,0.4117647058823529,1.5796741342347702,47.05882352941176
20,110,300,150.0,12,True,78,0.0001084498150101254,1.3903822437195565e-06,9.836401644972605e-06,48.717948717948715,36,3.00007682164614,0.08333546726794833,0.41523808446393273,58.333333333333336
20,110,300,150.0,12,False,77,-11.0,-0.14285714285714285,-0.9189365834726814,28.57142857142857,36,12.0,0.3333333333333333,1.3228756555322954,44.44444444444444
20,110,300,150.0,16,True,79,0.00012749674341261397,1.6138828280077718e-06,1.156490912771556e-05,49.36708860759494,37,5.000076821646138,0.13513721139584156,0.669160014025611,59.45945945945946
20,110,300,150.0,16,False,78,-12.0,-0.15384615384615385,-1.0000000000000002,28.205128205128204,37,14.0,0.3783783783783784,1.5185132047305931,45.94594594594595
20,110,350,100.0,8,True,145,-4.916940988638389,-0.03390993785267855,-0.3294325344319997,46.206896551724135,53,5.000109033322261,0.09434167987400492,0.5588949242960553,56.60377358490566
20,110,350,100.0,8,False,140,-12.03365058966253,-0.08595464706901808,-0.7387065676073583,30.714285714285715,51,18.0,0.35294117647058826,1.6718346377260587,45.09803921568628
20,110,350,100.0,12,True,148,-5.916948952924745,-0.03997938481705909,-0.39039305161859605,45.27027027027027,59,15.000113003039417,0.25423920344134604,1.5243865530719973,61.016949152542374
20,110,350,100.0,12,False,143,-12.033650589662532,-0.08415140272491281,-0.7304621086790029,30.76923076923077,57,27.0,0.47368421052631576,2.363515791475006,49.122807017543856
20,125,200,150.0,12,True,76,1.0001485587507881,0.013159849457247212,0.09347046886788812,51.31578947368421,35,2.216338039844076,0.06332394399554503,0.3239367995872952,60.0
20,125,200,150.0,12,False,75,-4.283615749445862,-0.05711487665927816,-0.35726999201825865,32.0,35,10.216254241351931,0.2918929783243409,1.1502479524885503,42.857142857142854
20,125,200,150.0,16,True,77,1.0001664978126579,0.012989175296268285,0.09348016734926301,51.94805194805194,38,4.216371288391993,0.11095713916821033,0.5934743631669114,63.1578947368421
20,125,200,150.0,16,False,76,-5.283615749445862,-0.06952125986112977,-0.43935630617068355,31.57894736842105,38,10.216254241351931,0.26884879582505083,1.1074096341600437,42.10526315789473
20,125,250,100.0,8,True,150,-3.918740169966207,-0.02612493446644138,-0.2562847838070247,46.0,54,10.002564630420357,0.18523267834111773,1.1122391221733992,61.111111111111114
